wallet,chain,time,transfer_type,transfer_method,token_name,token_symbol,amount,amount_usd
W25,bsc,2023-01-16 12:22:26,swap_in,in,CryptoZoon,ZOON,10149.04768,7.55
W25,bsc,2023-01-16 13:29:13,swap_out,out,Wrapped BNB,WBNB,0.003886781423,1.16
W25,bsc,2023-01-16 13:29:13,swap_in,in,CryptoZoon,ZOON,1425,1.06
W25,bsc,2023-01-16 15:39:12,swap_in,in,Wrapped BNB,WBNB,0.83265,247.19
W25,bsc,2023-01-16 15:39:12,swap_out,out,CryptoZoon,ZOON,297380.2928,220.47
W25,bsc,2023-01-16 15:39:12,swap_out,out,CryptoZoon,ZOON,6068.985567,4.50
W25,bsc,2023-01-16 18:16:14,swap_in,in,Wrapped BNB,WBNB,0.0035,1.05
W25,bsc,2023-01-16 18:16:14,swap_out,out,CryptoZoon,ZOON,25.48530529,0.02
W25,bsc,2023-01-16 18:16:14,swap_out,out,CryptoZoon,ZOON,1248.779959,0.92
W25,bsc,2023-01-17 7:09:17,swap_out,out,Wrapped BNB,WBNB,0.000102456741,0.03
W25,bsc,2023-01-17 7:09:17,swap_in,in,CryptoZoon,ZOON,37.48907937,0.03
W25,bsc,2023-01-17 11:40:57,swap_out,out,Wrapped BNB,WBNB,0.1920583493,57.75
W25,bsc,2023-01-17 11:40:57,swap_in,in,CryptoZoon,ZOON,70290.5,52.40
W25,bsc,2023-01-17 16:11:15,swap_out,out,Wrapped BNB,WBNB,0.1798096816,54.42
W25,bsc,2023-01-17 16:11:15,swap_in,in,CryptoZoon,ZOON,65836.80674,49.16
W25,bsc,2023-01-17 19:46:20,swap_in,in,Wrapped BNB,WBNB,0.004422948776,1.34
W25,bsc,2023-01-17 19:46:20,swap_out,out,CryptoZoon,ZOON,32.234,0.02
W25,bsc,2023-01-17 19:46:20,swap_out,out,CryptoZoon,ZOON,1579.466,1.18
W25,bsc,2023-01-18 11:20:43,swap_out,out,Wrapped BNB,WBNB,0.0003813261069,0.11
